dish_serial,dish_name
26_67306667880091648,番茄炒蛋/青韭南瓜丝
26_67309121245941760,雪菜毛豆子
26_67309879295086592,盐焗鸡
26_67667769247797248,胖干烧肉/香菇鸡块
26_67675887407075328,白菜
26_67667212726571008,木耳莴笋片
26_68754816561713152,青椒素鸡
26_68755515173376000,茄子长江豆
26_69865795496316928,香菇菜芯
26_70206708550602752,青椒土豆丝
26_71654322479435776,虎皮尖椒/茄子长江豆
26_71663236436594688,莴笋山药
